"year","month","type","currency","V0","V1","V2","V3"
2009,"11","出口","万美元","北京",97122.3,122950,-21
2009,"11","出口","万美元","天津",72795,77270.1,-5.8
2009,"11","出口","万美元","河北",91301.4,90739.2,0.6
2009,"11","出口","万美元","山西",5063.6,8786.8,-42.4
2009,"11","出口","万美元","内蒙古",20380.2,23415.4,-13
2009,"11","出口","万美元","辽宁",272303.6,303460.9,-10.3
2009,"11","出口","万美元","吉林",83996.5,95693.1,-12.2
2009,"11","出口","万美元","黑龙江",55157.6,79673.8,-30.8
2009,"11","出口","万美元","上海",107539.6,118369.9,-9.1
2009,"11","出口","万美元","江苏",177226.8,182298.3,-2.8
2009,"11","出口","万美元","浙江",269483.2,307272,-12.3
2009,"11","出口","万美元","安徽",44867,46416.6,-3.3
2009,"11","出口","万美元","福建",296824.6,271468.6,9.3
2009,"11","出口","万美元","江西",23248.6,21637,7.4
2009,"11","出口","万美元","山东",867649.1,912348.6,-4.9
2009,"11","出口","万美元","河南",43887.7,40891.9,7.3
2009,"11","出口","万美元","湖北",64411.6,57029.7,12.9
2009,"11","出口","万美元","湖南",36690.9,37679.8,-2.6
2009,"11","出口","万美元","广东",429685.7,414847.3,3.6
2009,"11","出口","万美元","广西",75659.6,70068.3,8
2009,"11","出口","万美元","海南",36511.8,40899.4,-10.7
2009,"11","出口","万美元","重庆",14509.9,16679.1,-13
2009,"11","出口","万美元","四川",49681.7,60270.3,-17.6
2009,"11","出口","万美元","贵州",13825.7,9379.3,47.4
2009,"11","出口","万美元","云南",88488,70521.5,25.5
2009,"11","出口","万美元","西藏",3525.1,2832.2,24.5
2009,"11","出口","万美元","陕西",47703.9,68932.1,-30.8
2009,"11","出口","万美元","甘肃",19568.9,24736.5,-20.9
2009,"11","出口","万美元","青海",869.8,637.3,36.5
2009,"11","出口","万美元","宁夏",2516.9,3252.6,-22.6
2009,"11","出口","万美元","新疆",66164.8,65621.6,0.8
2009,"11","进口","万美元","北京",442752.4,880333.9,-49.7
2009,"11","进口","万美元","天津",220363.8,276568.4,-20.3
2009,"11","进口","万美元","河北",156223.3,205063.5,-23.8
2009,"11","进口","万美元","山西",542.5,704.3,-23
2009,"11","进口","万美元","内蒙古",9641.2,9967.2,-3.3
2009,"11","进口","万美元","辽宁",186496.5,184015.4,1.3
2009,"11","进口","万美元","吉林",47515,42243.7,12.5
2009,"11","进口","万美元","黑龙江",92921.3,36723.7,153
2009,"11","进口","万美元","上海",528641.9,636343.3,-16.9
2009,"11","进口","万美元","江苏",593241.7,558613.9,6.2
2009,"11","进口","万美元","浙江",235835.4,329151.6,-28.4
2009,"11","进口","万美元","安徽",37828.8,36947.5,2.4
2009,"11","进口","万美元","福建",231835,226425.8,2.4
2009,"11","进口","万美元","江西",617.7,842.2,-26.7
2009,"11","进口","万美元","山东",745524.7,818706.5,-8.9
2009,"11","进口","万美元","河南",68844.7,85003.1,-19
2009,"11","进口","万美元","湖北",15973.6,13497.2,18.3
2009,"11","进口","万美元","湖南",18348.5,14775.9,24.2
2009,"11","进口","万美元","广东",716185.3,765694.6,-6.5
2009,"11","进口","万美元","广西",157554.5,180847.7,-12.9
2009,"11","进口","万美元","海南",6975.9,5362.5,30.1
2009,"11","进口","万美元","重庆",23415.9,31463.2,-25.6
2009,"11","进口","万美元","四川",17570.8,21694.2,-19
2009,"11","进口","万美元","贵州",44,39.9,10.4
2009,"11","进口","万美元","云南",39997.6,30427.7,31.5
2009,"11","进口","万美元","西藏",322.7,65.5,392.5
2009,"11","进口","万美元","陕西",2638,4213.2,-37.4
2009,"11","进口","万美元","甘肃",996.2,448.9,121.9
2009,"11","进口","万美元","青海",13.6,NA,NA
2009,"11","进口","万美元","宁夏",160.1,591,-72.9
2009,"11","进口","万美元","新疆",15954.3,16190.6,-1.5
